Gene,BA11.R2,BA11.Peak,BA11.Pval,BA11.qval,BA47.R2,BA47.Peak,BA47.Pval,BA47.qval,Diff.Peak,Avg.R2,Combined.Pval,Combined.qval,BA11.weight,BA47.weight,Both.weight,Age.genes,Sex.genes
TMTC3,0.01,3.28,5.23E-01,8.35E-01,0.01,-2.46,6.35E-01,9.69E-01,5.74,0.01,5.34E-01,6.65E-01,1,0,1,0,0
RAB43,0.01,4.92,4.47E-01,7.96E-01,0.00,6.33,7.44E-01,9.81E-01,1.42,0.01,4.52E-01,6.11E-01,1,0,1,0,0
AVL9,0.01,1.38,6.16E-01,8.73E-01,0.01,-1.40,5.40E-01,9.51E-01,2.78,0.01,5.52E-01,6.77E-01,0,1,1,0,0
DTX3,0.00,12.77,8.21E-01,9.47E-01,0.01,15.64,4.05E-01,9.20E-01,2.86,0.01,4.08E-01,5.85E-01,0,1,1,0,0
RNASE2,0.01,-2.90,4.06E-01,7.78E-01,0.00,-0.78,8.18E-01,9.87E-01,2.12,0.01,4.09E-01,5.86E-01,1,0,1,0,0
RQCD1,0.01,3.73,3.48E-01,7.42E-01,0.00,-0.32,9.56E-01,9.98E-01,4.05,0.01,3.49E-01,5.46E-01,1,0,1,0,0
RWDD2A,0.01,5.78,4.76E-01,8.11E-01,0.01,0.71,6.99E-01,9.74E-01,5.07,0.01,4.83E-01,6.32E-01,1,0,1,0,0
NCR1,0.01,13.12,4.33E-01,7.90E-01,0.00,8.12,7.68E-01,9.83E-01,5.01,0.01,4.38E-01,6.02E-01,1,0,1,0,0
FLJ35934,0.01,15.00,3.97E-01,7.73E-01,0.00,8.88,8.37E-01,9.89E-01,6.12,0.01,4.00E-01,5.78E-01,1,0,1,0,0
TTTY8,0.01,9.44,4.79E-01,8.13E-01,0.01,8.93,6.95E-01,9.74E-01,0.52,0.01,4.86E-01,6.33E-01,1,0,1,0,0
ANKAR,0.01,0.23,6.90E-01,9.02E-01,0.01,0.17,4.82E-01,9.40E-01,0.07,0.01,4.90E-01,6.36E-01,0,1,1,1,0
POC1A,0.00,-6.15,7.87E-01,9.36E-01,0.01,3.78,4.23E-01,9.24E-01,9.93,0.01,4.27E-01,5.96E-01,0,1,1,1,0
LARP6,0.01,7.45,6.10E-01,8.70E-01,0.01,0.17,5.46E-01,9.52E-01,7.28,0.01,5.59E-01,6.81E-01,0,1,1,0,0
JAK3,0.01,14.84,5.18E-01,8.32E-01,0.01,10.12,6.43E-01,9.70E-01,4.71,0.01,5.28E-01,6.61E-01,1,0,1,0,0
FBXW7,0.01,5.37,6.30E-01,8.79E-01,0.01,1.43,5.29E-01,9.48E-01,3.94,0.01,5.40E-01,6.69E-01,0,1,1,0,0
C22orf37,0.01,9.67,3.45E-01,7.40E-01,0.00,-3.08,9.66E-01,9.98E-01,11.25,0.01,3.46E-01,5.44E-01,1,0,1,0,0
HIF3A,0.01,7.62,6.09E-01,8.70E-01,0.01,10.70,5.47E-01,9.52E-01,3.08,0.01,5.60E-01,6.82E-01,0,1,1,1,0
DPP8,0.01,2.91,6.97E-01,9.05E-01,0.01,-1.85,4.79E-01,9.39E-01,4.75,0.01,4.86E-01,6.33E-01,0,1,1,0,0
SAA4,0.01,-2.92,4.44E-01,7.95E-01,0.00,12.37,7.52E-01,9.82E-01,8.70,0.01,4.49E-01,6.09E-01,1,0,1,0,0
PBX1,0.01,0.83,3.66E-01,7.53E-01,0.00,3.23,9.11E-01,9.95E-01,2.40,0.01,3.67E-01,5.58E-01,1,0,1,0,0
MFSD7,0.01,7.69,4.87E-01,8.18E-01,0.01,4.29,6.85E-01,9.74E-01,3.40,0.01,4.95E-01,6.40E-01,1,0,1,0,0
RASAL3,0.01,16.47,5.46E-01,8.44E-01,0.01,7.60,6.12E-01,9.63E-01,8.87,0.01,5.58E-01,6.80E-01,1,0,1,0,0
PROSC,0.01,9.07,4.52E-01,7.99E-01,0.00,7.73,7.38E-01,9.79E-01,1.35,0.01,4.58E-01,6.14E-01,1,0,1,0,0
PRB1,0.00,1.14,8.12E-01,9.45E-01,0.01,6.16,4.11E-01,9.21E-01,5.02,0.01,4.14E-01,5.88E-01,0,1,1,0,0
PNPLA3,0.01,0.44,4.16E-01,7.82E-01,0.00,9.80,8.03E-01,9.86E-01,9.36,0.01,4.19E-01,5.91E-01,1,0,1,0,0
TTC7B,0.00,0.03,8.72E-01,9.63E-01,0.01,11.82,3.83E-01,9.14E-01,11.80,0.01,3.85E-01,5.69E-01,0,1,1,0,0
RAD1,0.01,4.35,3.61E-01,7.49E-01,0.00,2.68,9.26E-01,9.95E-01,1.67,0.01,3.62E-01,5.53E-01,1,0,1,0,0
MYL3,0.01,1.13,4.49E-01,7.98E-01,0.00,3.61,7.44E-01,9.81E-01,2.48,0.01,4.54E-01,6.12E-01,1,0,1,0,0
HEXB,0.01,5.64,4.12E-01,7.80E-01,0.00,1.27,8.11E-01,9.86E-01,4.37,0.01,4.15E-01,5.89E-01,1,0,1,0,0
FSTL3,0.00,14.12,8.23E-01,9.47E-01,0.01,12.12,4.06E-01,9.20E-01,2.00,0.01,4.09E-01,5.86E-01,0,1,1,0,0
NUBPL,0.01,0.59,4.98E-01,8.23E-01,0.01,-0.48,6.71E-01,9.73E-01,1.07,0.01,5.07E-01,6.48E-01,1,0,1,0,0
MRPL50,0.01,6.77,4.79E-01,8.13E-01,0.01,7.22,6.98E-01,9.74E-01,0.46,0.01,4.86E-01,6.34E-01,1,0,1,0,0
PIGV,0.01,4.59,4.60E-01,8.04E-01,0.00,10.31,7.27E-01,9.78E-01,5.72,0.01,4.66E-01,6.21E-01,1,0,1,0,0
APEX1,0.01,1.81,3.65E-01,7.52E-01,0.00,16.10,9.17E-01,9.95E-01,9.71,0.01,3.66E-01,5.57E-01,1,0,1,0,0
GALNT7,0.02,3.00,3.36E-01,7.34E-01,0.00,2.81,9.96E-01,1.00E+00,0.19,0.01,3.36E-01,5.39E-01,1,0,1,0,0
DUSP14,0.01,14.04,5.13E-01,8.29E-01,0.01,13.82,6.53E-01,9.71E-01,0.22,0.01,5.23E-01,6.58E-01,1,0,1,1,0
POLE4,0.01,10.43,4.45E-01,7.95E-01,0.00,3.08,7.53E-01,9.82E-01,7.35,0.01,4.49E-01,6.10E-01,1,0,1,1,0
ITGB3,0.01,14.32,4.08E-01,7.78E-01,0.00,17.11,8.21E-01,9.87E-01,2.78,0.01,4.11E-01,5.86E-01,1,0,1,0,0
MRPL11,0.01,10.80,3.96E-01,7.72E-01,0.00,12.94,8.45E-01,9.89E-01,2.14,0.01,3.99E-01,5.78E-01,1,0,1,0,0
ZNF20,0.01,-1.64,3.48E-01,7.42E-01,0.00,10.84,9.62E-01,9.98E-01,11.52,0.01,3.49E-01,5.46E-01,1,0,1,0,0
C1orf109,0.00,2.86,9.84E-01,9.96E-01,0.01,16.56,3.40E-01,9.03E-01,10.30,0.01,3.41E-01,5.42E-01,0,1,1,0,0
H3F3C,0.02,-1.21,3.35E-01,7.34E-01,0.00,1.23,9.97E-01,1.00E+00,2.44,0.01,3.36E-01,5.38E-01,1,0,1,0,0
ZNF788,0.01,-1.28,5.91E-01,8.62E-01,0.01,11.31,5.67E-01,9.56E-01,11.41,0.01,5.82E-01,6.96E-01,0,1,1,0,0
ACTR6,0.01,4.85,6.65E-01,8.92E-01,0.01,-1.43,5.04E-01,9.43E-01,6.28,0.01,5.13E-01,6.52E-01,0,1,1,0,0
PBX4,0.01,11.88,4.64E-01,8.07E-01,0.00,-5.79,7.22E-01,9.77E-01,6.32,0.01,4.71E-01,6.24E-01,1,0,1,0,0
SUMO4,0.01,12.51,6.74E-01,8.95E-01,0.01,0.72,4.98E-01,9.42E-01,11.79,0.01,5.06E-01,6.47E-01,0,1,1,0,0
GNRHR2,0.00,5.72,7.19E-01,9.12E-01,0.01,10.28,4.67E-01,9.37E-01,4.56,0.01,4.73E-01,6.25E-01,0,1,1,0,0
TBX18,0.01,15.64,5.25E-01,8.35E-01,0.01,10.24,6.40E-01,9.70E-01,5.40,0.01,5.36E-01,6.66E-01,1,0,1,0,0
FAM100A,0.01,12.63,6.27E-01,8.78E-01,0.01,9.96,5.36E-01,9.49E-01,2.67,0.01,5.48E-01,6.74E-01,0,1,1,0,0
DKK3,0.01,1.57,6.58E-01,8.89E-01,0.01,10.59,5.10E-01,9.45E-01,9.03,0.01,5.20E-01,6.56E-01,0,1,1,1,0
NOVA2,0.01,11.35,5.04E-01,8.26E-01,0.01,10.74,6.66E-01,9.73E-01,0.60,0.01,5.13E-01,6.51E-01,1,0,1,1,0
DARC,0.01,-3.21,4.70E-01,8.09E-01,0.00,-6.21,7.13E-01,9.76E-01,3.00,0.01,4.77E-01,6.28E-01,1,0,1,1,0
P4HA2,0.00,11.55,8.50E-01,9.56E-01,0.01,-0.48,3.95E-01,9.15E-01,11.97,0.01,3.97E-01,5.76E-01,0,1,1,0,0
TMEM200B,0.00,6.14,7.99E-01,9.40E-01,0.01,10.22,4.20E-01,9.24E-01,4.08,0.01,4.24E-01,5.94E-01,0,1,1,0,0
ADAM23,0.01,2.11,4.07E-01,7.78E-01,0.00,-1.57,8.25E-01,9.87E-01,3.68,0.01,4.10E-01,5.86E-01,1,0,1,1,0
PTH,0.01,14.36,3.69E-01,7.55E-01,0.00,5.31,9.09E-01,9.95E-01,9.05,0.01,3.70E-01,5.59E-01,1,0,1,0,0
FAM22F,0.01,12.71,3.52E-01,7.44E-01,0.00,11.20,9.53E-01,9.98E-01,1.51,0.01,3.52E-01,5.48E-01,1,0,1,0,0
C17orf54,0.00,13.41,8.24E-01,9.47E-01,0.01,9.26,4.08E-01,9.20E-01,4.15,0.01,4.10E-01,5.86E-01,0,1,1,0,0
CCDC47,0.00,2.53,8.74E-01,9.64E-01,0.01,-1.24,3.84E-01,9.14E-01,3.77,0.01,3.86E-01,5.70E-01,0,1,1,0,0
TRPM6,0.01,15.11,3.43E-01,7.40E-01,0.00,4.49,9.76E-01,9.98E-01,10.62,0.01,3.44E-01,5.44E-01,1,0,1,0,0
C1orf100,0.00,7.59,9.54E-01,9.87E-01,0.01,6.24,3.51E-01,9.06E-01,1.35,0.01,3.52E-01,5.48E-01,0,1,1,0,0
PDGFA,0.00,-0.42,9.51E-01,9.86E-01,0.01,15.79,3.53E-01,9.06E-01,7.79,0.01,3.54E-01,5.49E-01,0,1,1,0,0
RECQL5,0.01,7.46,3.40E-01,7.37E-01,0.00,15.54,9.86E-01,9.99E-01,8.08,0.01,3.41E-01,5.42E-01,1,0,1,0,0
HSF4,0.01,3.75,3.45E-01,7.40E-01,0.00,5.09,9.73E-01,9.98E-01,1.34,0.01,3.46E-01,5.44E-01,1,0,1,1,0
FMOD,0.02,-0.90,3.36E-01,7.34E-01,0.00,-1.18,9.99E-01,1.00E+00,0.28,0.01,3.37E-01,5.39E-01,1,0,1,0,0
FBXL8,0.00,-0.26,8.88E-01,9.67E-01,0.01,8.57,3.78E-01,9.13E-01,8.83,0.01,3.80E-01,5.65E-01,0,1,1,0,0
SAP30BP,0.01,-0.94,4.47E-01,7.96E-01,0.00,-1.98,7.52E-01,9.82E-01,1.04,0.01,4.52E-01,6.11E-01,1,0,1,0,0
MRPS25,0.00,7.23,7.68E-01,9.31E-01,0.01,-2.44,4.38E-01,9.29E-01,9.67,0.01,4.42E-01,6.05E-01,0,1,1,1,0
CCDC87,0.01,10.76,5.38E-01,8.42E-01,0.01,2.97,6.25E-01,9.66E-01,7.79,0.01,5.50E-01,6.76E-01,1,0,1,0,0
KCNK1,0.01,6.68,4.51E-01,7.98E-01,0.00,6.37,7.45E-01,9.81E-01,0.30,0.01,4.57E-01,6.14E-01,1,0,1,1,0
TRIP4,0.00,1.40,7.80E-01,9.35E-01,0.01,0.77,4.32E-01,9.28E-01,0.63,0.01,4.36E-01,6.02E-01,0,1,1,0,0
ERBB3,0.00,9.96,8.59E-01,9.58E-01,0.01,13.34,3.92E-01,9.15E-01,3.37,0.01,3.94E-01,5.74E-01,0,1,1,1,0
ALG11,0.01,3.58,3.45E-01,7.40E-01,0.00,0.66,9.74E-01,9.98E-01,2.92,0.01,3.46E-01,5.44E-01,1,0,1,0,0
LMBR1,0.01,0.06,6.08E-01,8.69E-01,0.01,-2.91,5.54E-01,9.54E-01,2.98,0.01,5.67E-01,6.86E-01,0,1,1,1,0
NOC2L,0.01,11.20,5.42E-01,8.43E-01,0.01,10.91,6.21E-01,9.66E-01,0.29,0.01,5.54E-01,6.78E-01,1,0,1,0,0
TMEM110,0.00,12.08,7.46E-01,9.23E-01,0.01,8.14,4.51E-01,9.31E-01,3.94,0.01,4.57E-01,6.14E-01,0,1,1,0,0
C5orf56,0.01,11.82,4.38E-01,7.93E-01,0.00,6.63,7.68E-01,9.83E-01,5.19,0.01,4.43E-01,6.06E-01,1,0,1,0,0
PF4,0.01,10.99,6.29E-01,8.79E-01,0.01,2.91,5.35E-01,9.49E-01,8.08,0.01,5.47E-01,6.74E-01,0,1,1,0,0
POTEC,0.00,-1.09,7.82E-01,9.35E-01,0.01,-3.30,4.31E-01,9.28E-01,2.21,0.01,4.35E-01,6.02E-01,0,1,1,0,0
AKAP5,0.00,15.90,7.66E-01,9.30E-01,0.01,15.09,4.40E-01,9.29E-01,0.81,0.01,4.45E-01,6.07E-01,0,1,1,1,0
CR1,0.01,-5.60,4.09E-01,7.78E-01,0.00,10.49,8.24E-01,9.87E-01,7.91,0.01,4.12E-01,5.87E-01,1,0,1,0,0
NISCH,0.01,5.36,3.76E-01,7.59E-01,0.00,9.86,8.97E-01,9.95E-01,4.51,0.01,3.77E-01,5.63E-01,1,0,1,0,0
NME3,0.00,-3.23,9.15E-01,9.74E-01,0.01,14.70,3.68E-01,9.10E-01,6.07,0.01,3.70E-01,5.59E-01,0,1,1,0,0
SH2D4B,0.00,11.67,9.89E-01,9.97E-01,0.01,7.16,3.41E-01,9.03E-01,4.50,0.01,3.41E-01,5.42E-01,0,1,1,0,0
AAAS,0.01,5.94,3.53E-01,7.45E-01,0.00,8.87,9.55E-01,9.98E-01,2.93,0.01,3.54E-01,5.49E-01,1,0,1,0,0
PSMD7,0.01,2.93,5.98E-01,8.66E-01,0.01,-1.06,5.64E-01,9.55E-01,3.99,0.01,5.79E-01,6.94E-01,0,1,1,0,0
PREB,0.01,-6.09,5.42E-01,8.43E-01,0.01,13.54,6.23E-01,9.66E-01,4.37,0.01,5.54E-01,6.78E-01,1,0,1,1,0
SYCE1,0.01,9.27,4.42E-01,7.95E-01,0.00,12.62,7.64E-01,9.82E-01,3.35,0.01,4.47E-01,6.08E-01,1,0,1,0,0
OPALIN,0.01,3.01,3.70E-01,7.55E-01,0.00,4.23,9.12E-01,9.95E-01,1.23,0.01,3.71E-01,5.60E-01,1,0,1,1,0
ZBTB8B,0.00,15.25,9.95E-01,9.99E-01,0.02,0.58,3.39E-01,9.03E-01,9.33,0.01,3.40E-01,5.41E-01,0,1,1,0,0
SKA1,0.01,12.73,6.04E-01,8.68E-01,0.01,11.35,5.59E-01,9.55E-01,1.38,0.01,5.73E-01,6.91E-01,0,1,1,0,0
SERPINB4,0.01,-5.47,5.65E-01,8.51E-01,0.01,16.24,5.98E-01,9.62E-01,2.29,0.01,5.79E-01,6.94E-01,1,0,1,0,0
SLC1A1,0.01,2.01,6.55E-01,8.87E-01,0.01,0.04,5.16E-01,9.46E-01,1.97,0.01,5.26E-01,6.60E-01,0,1,1,0,0
LONRF2,0.01,8.21,5.57E-01,8.49E-01,0.01,12.91,6.07E-01,9.63E-01,4.70,0.01,5.71E-01,6.89E-01,1,0,1,0,0
ATP6V1F,0.00,5.18,7.03E-01,9.07E-01,0.01,7.27,4.80E-01,9.39E-01,2.10,0.01,4.88E-01,6.35E-01,0,1,1,0,0
ATP2A3,0.01,14.54,5.09E-01,8.28E-01,0.01,11.88,6.64E-01,9.73E-01,2.66,0.01,5.19E-01,6.55E-01,1,0,1,0,0
OXR1,0.01,5.70,4.69E-01,8.09E-01,0.00,6.00,7.22E-01,9.77E-01,0.30,0.01,4.75E-01,6.27E-01,1,0,1,0,0
AKD1,0.01,-3.38,4.65E-01,8.07E-01,0.00,10.32,7.27E-01,9.78E-01,10.30,0.01,4.71E-01,6.24E-01,1,0,1,0,0
MIR323,0.00,12.61,7.68E-01,9.31E-01,0.01,8.89,4.40E-01,9.29E-01,3.73,0.01,4.45E-01,6.07E-01,0,1,1,0,0
GGPS1,0.00,0.55,8.57E-01,9.58E-01,0.01,0.10,3.94E-01,9.15E-01,0.45,0.01,3.97E-01,5.76E-01,0,1,1,0,0
SNORD1C,0.01,7.43,4.13E-01,7.80E-01,0.00,-4.07,8.18E-01,9.87E-01,11.50,0.01,4.17E-01,5.89E-01,1,0,1,0,0
POM121L9P,0.01,14.35,4.96E-01,8.22E-01,0.01,0.72,6.82E-01,9.74E-01,10.37,0.01,5.05E-01,6.46E-01,1,0,1,0,0
C1orf212,0.01,2.45,5.41E-01,8.43E-01,0.01,5.13,6.25E-01,9.67E-01,2.68,0.01,5.54E-01,6.78E-01,1,0,1,0,0
C19orf75,0.00,16.99,7.60E-01,9.28E-01,0.01,5.04,4.45E-01,9.31E-01,11.95,0.01,4.50E-01,6.10E-01,0,1,1,0,0
AVEN,0.00,1.98,7.70E-01,9.32E-01,0.01,5.24,4.40E-01,9.29E-01,3.26,0.01,4.44E-01,6.07E-01,0,1,1,0,0
APOB48R,0.01,-1.95,6.35E-01,8.81E-01,0.01,11.65,5.34E-01,9.49E-01,10.40,0.01,5.45E-01,6.73E-01,0,1,1,0,0
ETV3,0.01,6.73,4.87E-01,8.18E-01,0.01,7.02,6.95E-01,9.74E-01,0.30,0.01,4.95E-01,6.40E-01,1,0,1,0,0
GINS4,0.00,-6.16,8.41E-01,9.54E-01,0.01,2.99,4.03E-01,9.19E-01,9.15,0.01,4.06E-01,5.83E-01,0,1,1,0,0
SKA3,0.00,14.55,9.59E-01,9.88E-01,0.01,2.45,3.53E-01,9.06E-01,11.89,0.01,3.54E-01,5.49E-01,0,1,1,0,0
FAM50A,0.01,-1.63,5.53E-01,8.48E-01,0.01,-1.06,6.13E-01,9.64E-01,0.58,0.01,5.66E-01,6.86E-01,1,0,1,0,0
SC5DL,0.01,2.86,5.31E-01,8.38E-01,0.01,-0.25,6.39E-01,9.70E-01,3.11,0.01,5.42E-01,6.70E-01,1,0,1,0,0
PRKRA,0.01,1.50,6.63E-01,8.91E-01,0.01,4.32,5.12E-01,9.45E-01,2.81,0.01,5.22E-01,6.57E-01,0,1,1,0,0
C7orf10,0.01,-6.23,4.60E-01,8.04E-01,0.00,3.85,7.37E-01,9.79E-01,10.08,0.01,4.66E-01,6.21E-01,1,0,1,0,0
RRAGA,0.00,6.00,8.01E-01,9.40E-01,0.01,0.58,4.23E-01,9.25E-01,5.42,0.01,4.27E-01,5.96E-01,0,1,1,0,0
NXF3,0.01,13.04,5.71E-01,8.55E-01,0.01,6.08,5.94E-01,9.61E-01,6.96,0.01,5.87E-01,7.00E-01,1,0,1,0,0
C14orf21,0.00,2.84,7.17E-01,9.11E-01,0.01,16.12,4.74E-01,9.39E-01,10.73,0.01,4.80E-01,6.30E-01,0,1,1,0,0
ACTA2,0.01,-0.07,4.49E-01,7.98E-01,0.00,-5.94,7.55E-01,9.82E-01,5.86,0.01,4.55E-01,6.13E-01,1,0,1,0,0
CABP1,0.01,8.96,4.56E-01,8.02E-01,0.00,10.53,7.44E-01,9.81E-01,1.56,0.01,4.62E-01,6.17E-01,1,0,1,0,0
FAM91A1,0.01,6.35,4.62E-01,8.05E-01,0.00,-4.02,7.35E-01,9.78E-01,10.38,0.01,4.68E-01,6.22E-01,1,0,1,0,0
MME,0.00,-5.91,7.79E-01,9.35E-01,0.01,0.78,4.36E-01,9.28E-01,6.69,0.01,4.40E-01,6.04E-01,0,1,1,0,0
ANKRD30BL,0.01,5.55,4.19E-01,7.84E-01,0.00,13.30,8.10E-01,9.86E-01,7.75,0.01,4.23E-01,5.94E-01,1,0,1,0,0
KSR1,0.00,-1.72,9.23E-01,9.77E-01,0.01,14.07,3.67E-01,9.10E-01,8.22,0.01,3.69E-01,5.59E-01,0,1,1,1,0
ANAPC16,0.00,0.90,9.41E-01,9.83E-01,0.01,-5.17,3.60E-01,9.08E-01,6.07,0.01,3.61E-01,5.53E-01,0,1,1,0,0
UBP1,0.01,8.86,3.66E-01,7.53E-01,0.00,-0.67,9.27E-01,9.95E-01,9.53,0.01,3.67E-01,5.58E-01,1,0,1,0,0
VCAN,0.01,4.53,3.67E-01,7.54E-01,0.00,2.48,9.24E-01,9.95E-01,2.06,0.01,3.69E-01,5.59E-01,1,0,1,1,0
C7orf69,0.00,11.99,9.63E-01,9.90E-01,0.01,10.07,3.52E-01,9.06E-01,1.92,0.01,3.53E-01,5.49E-01,0,1,1,0,0
C1orf129,0.01,-0.55,3.70E-01,7.56E-01,0.00,2.96,9.17E-01,9.95E-01,3.51,0.01,3.72E-01,5.60E-01,1,0,1,0,0
KIAA0467,0.01,9.66,4.07E-01,7.78E-01,0.00,6.12,8.35E-01,9.88E-01,3.54,0.01,4.10E-01,5.86E-01,1,0,1,1,0
NFRKB,0.01,4.30,6.50E-01,8.86E-01,0.01,12.27,5.23E-01,9.48E-01,7.97,0.01,5.34E-01,6.65E-01,0,1,1,0,0
TMEM130,0.01,3.78,5.55E-01,8.49E-01,0.01,10.88,6.12E-01,9.63E-01,7.10,0.01,5.69E-01,6.88E-01,1,0,1,0,0
PLRG1,0.00,2.93,7.58E-01,9.27E-01,0.01,-4.36,4.49E-01,9.31E-01,7.28,0.01,4.54E-01,6.12E-01,0,1,1,0,0
SIRPB2,0.01,-6.39,6.98E-01,9.05E-01,0.01,-6.03,4.87E-01,9.40E-01,0.36,0.01,4.95E-01,6.40E-01,0,1,1,0,0
GTF3C4,0.00,5.96,7.87E-01,9.36E-01,0.01,14.63,4.32E-01,9.28E-01,8.68,0.01,4.37E-01,6.02E-01,0,1,1,0,0
MTSS1,0.00,2.61,8.24E-01,9.47E-01,0.01,7.82,4.13E-01,9.22E-01,5.21,0.01,4.16E-01,5.89E-01,0,1,1,0,0
CXCL6,0.01,15.68,4.18E-01,7.83E-01,0.00,9.03,8.14E-01,9.87E-01,6.65,0.01,4.22E-01,5.93E-01,1,0,1,0,0
MRPL34,0.01,3.07,3.95E-01,7.71E-01,0.00,16.37,8.61E-01,9.91E-01,10.70,0.01,3.97E-01,5.76E-01,1,0,1,0,0
TMEM167A,0.01,1.74,4.08E-01,7.78E-01,0.00,-3.29,8.34E-01,9.88E-01,5.03,0.01,4.11E-01,5.87E-01,1,0,1,1,0
ADH4,0.01,16.37,3.76E-01,7.59E-01,0.00,1.12,9.04E-01,9.95E-01,8.75,0.01,3.78E-01,5.64E-01,1,0,1,0,0
IVNS1ABP,0.00,9.01,9.91E-01,9.97E-01,0.01,-4.42,3.43E-01,9.03E-01,10.57,0.01,3.44E-01,5.44E-01,0,1,1,1,0
SNAP23,0.01,0.46,6.75E-01,8.96E-01,0.01,-1.89,5.05E-01,9.43E-01,2.35,0.01,5.14E-01,6.52E-01,0,1,1,0,0
ZNF503,0.01,17.27,4.59E-01,8.04E-01,0.00,4.74,7.42E-01,9.80E-01,11.47,0.01,4.65E-01,6.20E-01,1,0,1,0,0
ZNF623,0.01,0.38,3.85E-01,7.65E-01,0.00,-0.43,8.84E-01,9.94E-01,0.81,0.01,3.87E-01,5.71E-01,1,0,1,0,0
LOC728606,0.01,6.97,3.99E-01,7.73E-01,0.00,-0.70,8.55E-01,9.91E-01,7.67,0.01,4.01E-01,5.79E-01,1,0,1,0,0
MYCBP2,0.01,5.70,3.59E-01,7.48E-01,0.00,3.43,9.50E-01,9.98E-01,2.27,0.01,3.60E-01,5.52E-01,1,0,1,0,0
TRIM13,0.00,3.23,9.87E-01,9.96E-01,0.01,-0.07,3.45E-01,9.04E-01,3.31,0.01,3.46E-01,5.44E-01,0,1,1,1,0
UPRT,0.00,11.71,9.78E-01,9.94E-01,0.01,12.25,3.48E-01,9.05E-01,0.54,0.01,3.49E-01,5.47E-01,0,1,1,0,0
GPC6,0.00,3.37,7.12E-01,9.10E-01,0.01,15.52,4.79E-01,9.39E-01,11.85,0.01,4.86E-01,6.33E-01,0,1,1,1,0
ZNF548,0.01,15.47,6.19E-01,8.75E-01,0.01,6.94,5.51E-01,9.54E-01,8.53,0.01,5.64E-01,6.84E-01,0,1,1,0,0
PLEKHG6,0.01,13.95,5.98E-01,8.67E-01,0.01,5.64,5.71E-01,9.57E-01,8.31,0.01,5.86E-01,6.99E-01,0,1,1,0,0
EHBP1L1,0.01,11.00,6.84E-01,9.00E-01,0.01,17.18,4.99E-01,9.42E-01,6.18,0.01,5.08E-01,6.48E-01,0,1,1,0,0
NPIP,0.01,7.79,6.84E-01,9.00E-01,0.01,6.82,4.99E-01,9.42E-01,0.97,0.01,5.08E-01,6.48E-01,0,1,1,0,0
GPR155,0.01,3.10,4.55E-01,8.01E-01,0.00,5.11,7.50E-01,9.82E-01,2.01,0.01,4.60E-01,6.17E-01,1,0,1,0,0
CLCC1,0.01,-1.40,4.32E-01,7.90E-01,0.00,0.91,7.89E-01,9.84E-01,2.31,0.01,4.36E-01,6.02E-01,1,0,1,0,0
MIR148A,0.01,15.88,3.82E-01,7.62E-01,0.00,0.54,8.93E-01,9.95E-01,8.67,0.01,3.84E-01,5.68E-01,1,0,1,0,0
OTUB1,0.01,4.89,3.72E-01,7.56E-01,0.00,5.78,9.18E-01,9.95E-01,0.89,0.01,3.73E-01,5.61E-01,1,0,1,1,0
DISP1,0.00,-0.64,9.37E-01,9.82E-01,0.01,-1.41,3.64E-01,9.10E-01,0.76,0.01,3.66E-01,5.56E-01,0,1,1,0,0
PIM3,0.00,8.39,9.86E-01,9.96E-01,0.01,-0.23,3.46E-01,9.04E-01,8.63,0.01,3.47E-01,5.45E-01,0,1,1,0,0
CSF2RA,0.00,8.04,8.78E-01,9.64E-01,0.01,-1.61,3.89E-01,9.15E-01,9.65,0.01,3.91E-01,5.73E-01,0,1,1,1,0
GDF1,0.01,-3.28,5.99E-01,8.67E-01,0.01,12.02,5.70E-01,9.57E-01,8.70,0.01,5.85E-01,6.98E-01,0,1,1,0,0
HYOU1,0.01,6.56,6.44E-01,8.84E-01,0.01,10.46,5.31E-01,9.49E-01,3.90,0.01,5.42E-01,6.70E-01,0,1,1,0,0
SEC13,0.01,-2.48,6.86E-01,9.00E-01,0.01,-2.91,4.98E-01,9.42E-01,0.43,0.01,5.07E-01,6.48E-01,0,1,1,0,0
TMEM183B,0.01,7.18,6.30E-01,8.79E-01,0.01,3.12,5.43E-01,9.52E-01,4.06,0.01,5.55E-01,6.78E-01,0,1,1,0,0
MRPS9,0.01,2.76,4.59E-01,8.04E-01,0.00,7.58,7.45E-01,9.81E-01,4.82,0.01,4.65E-01,6.20E-01,1,0,1,0,0
KLF8,0.00,-3.18,8.11E-01,9.44E-01,0.01,13.86,4.22E-01,9.24E-01,6.95,0.01,4.25E-01,5.95E-01,0,1,1,1,0
PM20D1,0.01,-6.37,3.61E-01,7.50E-01,0.00,-1.60,9.47E-01,9.98E-01,4.76,0.01,3.62E-01,5.54E-01,1,0,1,0,0
TRIL,0.01,-1.22,5.95E-01,8.65E-01,0.01,11.50,5.75E-01,9.58E-01,11.28,0.01,5.91E-01,7.02E-01,0,1,1,0,0
FLJ42418,0.01,11.71,6.74E-01,8.95E-01,0.01,15.50,5.08E-01,9.45E-01,3.79,0.01,5.18E-01,6.55E-01,0,1,1,0,0
MMP19,0.01,13.15,4.47E-01,7.96E-01,0.00,3.24,7.65E-01,9.82E-01,9.91,0.01,4.52E-01,6.11E-01,1,0,1,1,0
