Gene,BA11.R2,BA11.Peak,BA11.Pval,BA11.qval,BA47.R2,BA47.Peak,BA47.Pval,BA47.qval,Diff.Peak,Avg.R2,Combined.Pval,Combined.qval,BA11.weight,BA47.weight,Both.weight,Age.genes,Sex.genes
LAMB4,0.02,-1.76,2.95E-01,7.04E-01,0.01,14.12,6.51E-01,9.70E-01,8.12,0.01,2.95E-01,5.09E-01,1,0,1,0,0
ADK,0.02,0.75,2.98E-01,7.06E-01,0.01,1.83,6.44E-01,9.70E-01,1.08,0.01,2.98E-01,5.11E-01,1,0,1,0,0
DNAJC14,0.02,0.09,2.97E-01,7.05E-01,0.01,-3.35,6.46E-01,9.70E-01,3.43,0.01,2.97E-01,5.10E-01,1,0,1,0,0
TTC31,0.02,11.99,2.56E-01,6.73E-01,0.00,0.74,7.52E-01,9.82E-01,11.25,0.01,2.56E-01,4.82E-01,1,0,1,0,0
CIAPIN1,0.00,14.53,8.71E-01,9.63E-01,0.02,11.01,2.20E-01,8.45E-01,3.53,0.01,2.20E-01,4.55E-01,0,1,1,0,0
NCR3,0.01,14.83,4.15E-01,7.81E-01,0.01,2.56,4.63E-01,9.37E-01,11.73,0.01,4.18E-01,5.91E-01,1,0,1,0,0
DYRK1B,0.01,1.02,3.99E-01,7.74E-01,0.01,11.77,4.82E-01,9.40E-01,10.75,0.01,4.02E-01,5.80E-01,1,0,1,1,0
DPY30,0.01,3.05,3.49E-01,7.42E-01,0.01,10.65,5.51E-01,9.54E-01,7.60,0.01,3.50E-01,5.47E-01,1,0,1,0,0
FAM19A1,0.01,0.25,5.96E-01,8.66E-01,0.02,-4.72,3.23E-01,8.93E-01,4.97,0.01,3.23E-01,5.29E-01,0,1,1,1,0
SIDT2,0.00,2.08,7.99E-01,9.40E-01,0.02,14.03,2.41E-01,8.55E-01,11.95,0.01,2.41E-01,4.70E-01,0,1,1,0,0
DNAJB14,0.02,1.83,2.50E-01,6.69E-01,0.00,12.63,7.69E-01,9.83E-01,10.80,0.01,2.50E-01,4.78E-01,1,0,1,0,0
LCE5A,0.01,14.49,6.94E-01,9.04E-01,0.02,10.38,2.77E-01,8.74E-01,4.12,0.01,2.77E-01,4.95E-01,0,1,1,0,0
TMUB1,0.01,8.93,4.57E-01,8.03E-01,0.01,11.56,4.21E-01,9.24E-01,2.63,0.01,4.25E-01,5.95E-01,0,1,1,0,0
