,full_df_name,model,best_parameters,MSE,MAE,MAPE,RMSE,SMAPE
1101,BA11 Overall_80:20_Log_KPCA_90,ExtraTreesRegressor,"{'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': None}",0.4161080584069701,0.3140732529096941,0.5341901335292869,0.6450643831486669,15.73363066925226
1102,BA11 Overall_80:20_Log_KPCA_95,ExtraTreesRegressor,"{'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': None}",0.416103722620773,0.3133480303811024,0.5340293724474269,0.6450610224008059,15.70778612417715
1103,BA11 Overall_80:20_Log_KPCA_90,XGBoost Regressor,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.4287413171601102,0.3352218455995849,0.5449307840986111,0.6547834124045219,16.45496257470535
1104,BA11 Overall_80:20_Log_KPCA_95,XGBoost Regressor,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.4286959914944996,0.3351792287968717,0.5449202576653421,0.6547488003001606,16.45368072219701
1105,BA11 Overall_80:20_Log_KPCA_90,Multilayer Perceptron,"{'module__num_units': 20, 'module__activation_func': Tanh(), 'lr': 0.1}",0.5159873,0.44388995,0.5850711,0.7183225438693573,20.1490044593811
1106,BA11 Overall_80:20_Log_KPCA_95,Multilayer Perceptron,"{'module__num_units': 20, 'module__activation_func': Tanh(), 'lr': 0.1}",0.4639458,0.41500732,0.5714102,0.6811356737291469,19.73018199205399
1107,BA11 Overall_80:20_Log_KPCA_90,Long Short-Term Memory Network,"{'module__num_layers': 1, 'module__hidden_size': 75, 'max_epochs': 30, 'lr': 0.1, 'batch_size': 16}",0.31161547,0.36372232,0.2201329,0.558225283439879,15.51640927791596
1108,BA11 Overall_80:20_Log_KPCA_95,Long Short-Term Memory Network,"{'module__num_layers': 1, 'module__hidden_size': 25, 'max_epochs': 20, 'lr': 0.1, 'batch_size': 16}",0.33219057,0.38696375,0.22940762,0.5763597602326906,15.4630109667778
1109,BA11 Overall_80:20_Log_KPCA_90,Convolutional neural network,{},1.1226925,0.7637902,0.76826763,1.059571831346118,29.53450381755829
1110,BA11 Overall_80:20_Log_KPCA_95,Convolutional neural network,{},0.85888666,0.6415779,0.6992969,0.9267613819885652,25.94557404518127
1111,BA11 Overall_70:30_Log_KPCA_90,Linear Regressor,{},0.2199517292721804,0.2595831934151383,0.4555008349380663,0.4689901163907192,13.25567789401703
1112,BA11 Overall_70:30_Log_KPCA_95,Linear Regressor,{},0.262038833152892,0.2900195378344591,0.4957012065002503,0.5118972876983156,14.50774462231684
1113,BA11 Overall_70:30_Log_KPCA_90,Support Vector Regressor,"{'kernel': 'rbf', 'gamma': 0.0001, 'C': 1}",0.3656812260920321,0.3167069710830133,0.5487169051275597,0.6047158225911011,15.47230928691734
1114,BA11 Overall_70:30_Log_KPCA_95,Support Vector Regressor,"{'kernel': 'rbf', 'gamma': 0.0001, 'C': 1}",0.3773844208437743,0.3329333712722956,0.5546238700616096,0.6143162221883566,16.06267759652216
1115,BA11 Overall_70:30_Log_KPCA_90,Decision Tree Regressor,"{'splitter': 'best', 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': 90, 'max_features': None, 'max_depth': 26, 'criterion': 'mae', 'ccp_alpha': 0.0}",0.4128219011259282,0.4001673136559747,0.5732540448380313,0.642512179749091,18.55571684136274
1116,BA11 Overall_70:30_Log_KPCA_95,Decision Tree Regressor,"{'splitter': 'best', 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': 90, 'max_features': None, 'max_depth': 26, 'criterion': 'mae', 'ccp_alpha': 0.0}",0.4128219011259282,0.4001673136559747,0.5732540448380313,0.642512179749091,18.55571684136274
1117,BA11 Overall_70:30_Log_KPCA_90,K-Neighbors Regressor,"{'weights': 'uniform', 'n_neighbors': 2}",0.2988031347370393,0.2910504286915026,0.529509754953732,0.5466288820918991,14.55923048771479
1118,BA11 Overall_70:30_Log_KPCA_95,K-Neighbors Regressor,"{'weights': 'uniform', 'n_neighbors': 2}",0.3225526225140315,0.2999709213198228,0.5392627280784328,0.5679371642303677,14.89949328194939
1119,BA11 Overall_70:30_Log_KPCA_90,Stochastic Gradient Descent Regressor,"{'tol': 1e-05, 'power_t': 0.75, 'penalty': 'l1', 'max_iter': 1000, 'loss': 'huber', 'learning_rate': 'invscaling', 'l1_ratio': 0, 'fit_intercept': True, 'eta0': 0.01, 'alpha': 0.01}",6.117345923359077,2.303663956086182,0.9466194318079414,2.473326893752437,164.0057479510926
1120,BA11 Overall_70:30_Log_KPCA_95,Stochastic Gradient Descent Regressor,"{'tol': 0.0001, 'power_t': 0.5, 'penalty': 'l1', 'max_iter': 1000, 'loss': 'squared_loss', 'learning_rate': 'adaptive', 'l1_ratio': 0.15, 'fit_intercept': True, 'eta0': 0.001, 'alpha': 0.001}",0.2605091649456799,0.2939125617174331,0.4933009338486359,0.5104009844677809,14.64545461445108
